date,open,high,low,close,volume
2013-11-08,138.9800,138.9800,138.9300,138.9500,2248700
2013-11-11,138.9900,138.9900,138.9600,138.9700,4325700
2013-11-12,138.9800,138.9900,138.9600,138.9600,1723100
2013-11-13,138.9700,138.9700,138.8300,138.9600,7279500
2013-11-14,138.9700,138.9700,138.9500,138.9600,7861800
2013-11-15,138.9800,138.9800,138.6800,138.6800,4333600
2013-11-18,138.7200,138.7900,138.5300,138.7800,6942400
2013-11-19,138.8000,138.8000,138.7700,138.7800,15288100
2013-11-20,138.7800,138.9700,138.5900,138.9700,12705000
2013-11-21,138.9900,139.0100,138.8100,138.8800,15072700
2013-11-22,138.9000,138.9000,138.9000,138.9000,4182700
2013-11-25,138.9400,138.9600,138.9400,138.9400,1290200
2013-11-26,138.9500,139.0800,138.9500,139.0500,4984800
2013-11-27,139.0600,139.0700,139.0600,139.0600,10020200
2013-11-28,139.0800,139.0800,138.0700,139.0600,2463600
2013-11-29,139.0800,139.0800,139.0300,139.0600,3684000
2013-12-02,139.1000,139.1100,139.0800,139.0800,3393500
2013-12-03,139.1000,139.1200,139.0900,139.1200,10847100
2013-12-04,139.1300,139.1400,139.0800,139.0800,8354000
2013-12-05,139.1000,139.1700,139.0900,139.1400,4688700
2013-12-06,139.1600,139.1800,139.1600,139.1800,8077800
2013-12-09,139.2200,139.2300,139.2200,139.2200,6233900
2013-12-10,139.2400,139.2400,139.2100,139.2200,10565900
2013-12-11,139.2300,139.2400,139.2200,139.2200,4753800
2013-12-12,139.2400,139.2500,139.2300,139.2300,1543700
2013-12-13,139.2400,139.2900,139.1700,139.2900,8639800
2013-12-16,139.3300,139.3400,139.2900,139.3200,7436500
2013-12-17,139.3300,139.3400,139.3200,139.3400,1073400
2013-12-18,139.3500,139.3600,139.3500,139.3500,12228300
2013-12-19,139.3700,139.4300,139.3300,139.4300,5365100
2013-12-20,139.4400,139.5700,139.4400,139.4900,4968300
2013-12-23,139.5300,139.5400,139.5100,139.5100,3225200
2013-12-24,139.5200,139.5400,139.5200,139.5300,2321900
2013-12-25,139.5400,139.5500,139.4300,139.4300,2657300
2013-12-26,139.4500,139.4600,139.4400,139.4500,4176700
2013-12-27,139.4600,139.5000,139.4500,139.4900,1429000
2013-12-30,139.5300,139.5600,139.5200,139.5600,2401300
2013-12-31,139.5700,139.9100,139.5100,139.5200,4076200
2014-01-02,139.5400,139.6200,139.5400,139.6200,5989200
2014-01-03,139.6400,139.6400,139.6200,139.6200,1681500
2014-01-06,139.6700,139.6700,139.6200,139.6200,3581300
2014-01-07,139.6400,139.6400,139.4400,139.4400,6535800
2014-01-08,139.4500,139.4600,139.4200,139.4400,14450800
2014-01-09,139.4600,139.5100,139.4600,139.5100,27256400
2014-01-10,139.5300,139.5900,139.5100,139.5200,7313400
2014-01-13,139.5600,139.5700,139.5500,139.5600,12121300
2014-01-14,139.5700,139.5700,139.5600,139.5600,7975100
2014-01-15,139.5700,139.5800,139.5700,139.5800,13077600
2014-01-16,139.6000,139.6100,139.5900,139.6100,22828400
2014-01-17,139.6200,139.6300,139.6000,139.6100,14867900
2014-01-20,139.6600,139.8200,139.6100,139.8100,5257500
2014-01-21,139.8200,139.8500,139.8200,139.8500,16422700
2014-01-22,139.8600,139.9700,139.8600,139.9600,6311800
2014-01-23,139.9700,139.9800,139.9700,139.9700,5618100
2014-01-24,139.9900,139.9900,139.7900,139.8300,8321100
2014-01-27,139.8700,139.9800,139.8500,139.9800,9828700
2014-01-28,139.9900,140.0000,139.6800,139.6800,5640400
2014-01-29,139.7000,139.7000,139.6500,139.6600,2449700
2014-01-30,139.6700,139.6700,139.5300,139.5800,1459200
2014-02-07,139.6900,139.7000,139.6200,139.6800,3199700
2014-02-10,139.7300,139.7600,139.7100,139.7600,15853100
2014-02-11,139.7700,139.8100,139.7500,139.8100,4977200
2014-02-12,139.8200,139.8200,139.8100,139.8200,6676900
2014-02-13,139.8400,139.8500,139.7900,139.8100,10070500
2014-02-14,139.8300,139.8600,139.7600,139.8600,11326500
2014-02-17,139.9000,139.9000,139.9000,139.9000,3830900
2014-02-18,139.9100,139.9200,139.7800,139.7800,24507400
2014-02-19,139.7900,139.8500,139.7500,139.8400,13074200
2014-02-20,139.8500,139.8500,139.8500,139.8500,5974000
2014-02-21,139.8700,139.8700,139.8600,139.8700,1429900
2014-02-24,139.9100,139.9300,139.9000,139.9200,7855500
2014-02-25,139.9300,139.9400,139.7100,139.8300,12933800
2014-02-26,139.8500,139.8600,139.6300,139.7700,3189500
2014-02-27,139.7900,139.8300,139.7800,139.8300,8613600
2014-02-28,139.8400,139.9300,139.8300,139.9000,9295900
2014-03-03,139.9400,139.9400,139.8800,139.9100,8995900
2014-03-04,139.9300,139.9900,139.9300,139.9700,4943000
2014-03-05,139.9900,139.9900,139.9800,139.9900,19859400
2014-03-06,140.0000,140.0000,139.9900,140.0000,14591300
2014-03-07,140.0200,140.0200,140.0000,140.0100,4227600
2014-03-10,140.0500,140.0600,140.0400,140.0600,8057300
2014-03-11,140.0800,140.0800,139.8800,139.8900,9661900
2014-03-12,139.9000,139.9100,139.9000,139.9100,24029900
2014-03-13,139.9300,139.9500,139.9300,139.9400,8322200
2014-03-14,139.9500,139.9600,139.9500,139.9600,23766400
2014-03-17,140.0000,140.0100,139.9100,139.9800,2096300
